a              .6 -w
tell           .tEl -w
telling        .tElIN -w
tells          .tElz -w
telly	.tEli -w
temper	.tEmpR -w
temperature	.tEmpr6c) -w
tempt	.tEmpt -w
ten            .tEn -w
tend           .tEnd -w
tender        .tEndR -w
tenderness   .tEndRn6s -w
tending	.tEndIN -w
tennis         .tEnIs -w
tense	.tEnts -w
tent	.tEnt -w
tenth	.tEnT -w
tents          .tEnts -w
term           .t3m -w
terms          .t3mz -w
terri	.t*i -w
terri's	.t*iz -w
terrible       .t*6bL -w
terribly       .t*6bli -w
terrific	.t6rIfIk -w
terrorizing	.tEr39zIN -w
terry	.t*i -w
terry's	.t*iz -w
test           .tEst -w
tested         .tEstId -w
testing	.tEstIN -w 
than           .D&n -w
thank          .T&Nk -w
thanked	.T&Nkt -w
thanking	.T&NkIN -w
thanks	.T&Nks -w
thankyou	.T&Nkyu -w
that           .D&t -w
that'd	.D&t6d -w
that'll         .D&tL -w
that's         .D&ts -w
thaw	.TO -w
the            .D6 -w
thee	.Di -w
theif	.TIf -w
their          .D* -w
theirs	.D*z -w	
them           .DEm -w
them's         .DEmz -w
themselves	.DEmsElvz -w
then           .DEn -w
theodore	.Ti6d%
there          .D* -w
there'll	.D*L -w
there's        .D*z -w
therefore	.D*f% -w
theresa	.t6ris6 -w
thermometer	.TRmam6tR -w	
these          .Diz -w
they           .De -w
they'd	.Ded -w
they'll          .Del -w
they're        .D* -w
they've        .Dev -w
thick          .TIk -w
thicker	.TIkR -w
thigh	.T9 -w
thighs	.T9z -w
thin           .TIn -w
thing          .TIN -w
thing's         .TINz -w
thingamajigger	.TIN6m6GIgR -w
thingie	.TINi -w
thingies	.TINiz -w
things         .TINz -w
think          .TINk -w
thinking       .TINkIN -w
thinks         .TINks -w
third          .T3d -w
thirst	.T3st -w
thirsty       .T3sti -w
thirteen	.T3tin -w
thirty         .T3rti -w
this           .DIs -w
thistle	.TIsL -w
thorn	.T%n -w
thornbushes	.T%nbUS6z -w
thorns	.T%nz -w
thorny	.T%ni -w
those          .Doz -w
though         .Do -w
thought        .TOt -w
thoughtful	.TOtfL -w
thousand	.TQz~d -w
thrash   .Tr&S -w
thrasher	.Tr&SR -w
thread         .TrEd -w
three          .Tri -w
threes         .Triz -w
threw          .Tru -w
throat         .Trot -w
throats	.Trots -w
through        .Tru -w
throughout	.TruQt -w
throw          .Tro -w
throwing       .TroIN -w
thrown         .Tron -w
throws         .Troz -w
thumb          .TAm -w
thumbprints	.TAmprInts -w	
thumbs         .TAmz -w
thumbtacks	.TAmt&ks -w
thumper	.TAmpR -w
thunder	.TAndR -w
thundered	.TAndRd -w
thursday       .T3zde -w
thy	.D9 -w
ti@si	.ti -w
tic	.tIk -w
tick	.tIk -w
ticket          .tIkIt -w
tickets       .tIkIts -w
tickie	.tIki -w
tickle         .tIkL -w
tickled       .tIkLd -w
tickler	.tIkLR -w
tickles        .tIkLz -w
tickletickle	.tIkL -w .tIkL -w
ticklie	.tIkli -w
tickling       .tIkLIN -w
ticklish	.tIklIS -w
tickly	.tIkli -w
ticks          .tIks -w
tictactoe	.tIk -w .t&k -w .to -w
tiddywinkle	.tIdi -w .wINkL -w 
tide	.t9d -w
tie            .t9 -w
tied           .t9d -w
ties           .t9z -w
tiger          .t9gR -w
tigers         .t9gRz -w
tigger	.tIgR -w
tiggers	.tIgRz -w
tiggywinkle	.tIgi -w .wINkL -w
tight          .t9t -w
tighter	.t9tR -w
tightly	.t9tli -w
tights	.t9ts -w
tile	.t9L -w
tilt	.tIlt -w
tilted 	.tIlt6d -w
tim	.tIm -w	
timber	.tImbR -w
timberland	.tImbRl&nd -w
timbers	.tImbRz -w
time           .t9m -w
timer	.t9mR -w
times          .t9mz -w
timing	.t9mIN -w
timmer	.tImR -w
timmonium 	.tImoniAm -w
timmy	.tImi -w
timmy's	.tImiz -w
timone	.tImon -w
timothy	.tIm6Ti -w
tims	.tImz -w
tin	.tIn -w
tiniest	.t9niEst -w
tinkerbell	.tINkRbEl -w
tinkle          .tINKL -w
tinky	.tINki -w
tinkywink    .tINki -w .wINk -w
tinkywinky   .tINki -w .wINki -w
tiny	.t9ni -w
tip	.tIp -w
tipietoe	.tIpito -w
tipietoes	.tIpitoz -w
tipped	.tIpt -w
tippietoe	.tIpito -w
tippietoes	.tIpitoz -w
tipping	.tIpIN -w
tippy	.tipi -w
tippy's	.tipiz -w
tips	.tIps -w
tiptoe	.tIpto -w
tiptoed	.tIptod -w
tiptoes	.tIptoz -w
tire	.t9R -w
tired          .t9Rd -w
tires	.t9Rz -w
tiring	.t9RIN -w
tissue	.tISu -w
tissues        .tISuz -w
to             .tu -w
toandfro	.tu -w .&nd -w .fro -w
toast          .tost -w
toasted	.tost6d -w
toaster	.tostR -w
toastest	.tostEst -w
toasty	.tosti -w
tock	.tOk -w
today          .t6de -w
today's        .t6dez -w
toddler	.tOdlR -w
toe            .to -w
toe's	.toz -w
toenail	.tonel -w
toenails	.tonelz -w
toes           .toz -w
toesie	.tozi -w
toesies	.toziz -w
tofu	.tofu -w
together       .t6gEDR -w
toilet            .t7l6t -w
tokyo	.tokio -w
told           .told -w
tom	.tam -w
tom's	.tamz -w 
tomato	.t6meto -w
tomatos	.t6metoz -w
tomboy	.tOmb7 -w
tomcat	.tOmk&t -w
tommy      .tami -w
tomorrow       .t6m#o -w
tomorrow's	.t6m#o -w 
ton            .tAn -w
tonga          .taNg6 -w
tongue         .tAN -w
tongue's       .tANz -w
tonight        .t6n9t -w
tonka	.taNk6 -w
tonka's            .taNk6z -w
tons           .tAnz -w
tonya	.tany6 -w
too            .tu -w
took           .tUk -w
tool	.tul -w
toolbox	.tulbaks -w
tools	.tulz -w
toolshed	.tulshEd -w
toot	.tut -w
tootaloo	.tut6lu -w
tooth	.tuT -w
toothbrush	.tuTbrAS -w
toothbrushes	.tuTbrAS6z -w
toothie	.tuTi -w
toothies	.tuTiz -w
toothless	.tuTl6s -w
tooting	.tutIN -w
tootleloo	.tutLu -w
toots	.tuts -w
tootsie	.tUtsi -w
tootsies	.tUtsiz -w
top            .tap -w
topic	.tapIk -w
toppings	.tapINz -w
tops 	.taps -w
tore	.t% -w
torn   .t%n -w
tortoise	.t%t6s 
torturing	.t%c)IN -w
toss	.tas -w
tossed	.tast -w
tosses	.tas6z -w
totally        .totLi -w
totem	.totM -w
toucan	.tuk&n -w
touch          .tAc -w
touchdowns	.tAcdQnz -w
touched	.tAct -w
touches	.tAc6z -w
touchie	.tAci -w
touching       .tAcIN -w
touchy	.tAci -w
tough	.tAf -w
toughie	.tAfi -w
tow	.to -w
toward	.t6w#d -w
towards        .t%dz -w
towel          .tQl -w
towels	.tQlz -w
tower          .tQR -w
towers         .tQRz -w
town	.tQn -w
toy            .t7 -w
toy'll	.t7L -w
toybox	.t7baks -w
toys           .t7z -w
track	.tr&k -w
tracks         .tr&ks -w
tractor	.tr&ktR -w
trade   .tred -w
traditional	.tr6dIS~L -w
traffic         .tr&fIk -w
trailed	.treLd -w
trails	.treLz -w
train          .tren -w
trained	.trend -w
training	.trenIN -w
trains         .trenz -w
translate	.tr&nslet -w
trapeze	.tr6piz -w
trapped	.tr&pt -w
trash           .trAS -w
trashed       .trASt -w
trashes       .trAS6z -w
trashing     .trASIN -w
traumatizing	.trOm6t9zIN -w
traveler	.tr&vLR -w
traveling	.tr&vLIN -w
travels	.tr&vLz -w
tray           .tre -w
treat           .trit -w
treatment	.tritm~t -w
treats           .trits -w
tree           .tri -w
trees	.triz -w
treetop	.tritap -w
triangle      .tr9eNgL -w
triangles	.tr9&NgLz -w
triangular	.tr9&ngy6lR -w
trick          .trIk -w
tricked	.trIkt -w
tricks	.trIks -w
tricky         .trIki -w
tricycle       .tr9sIkL -w
tried          .tr9d -w
tries          .tr9z -w
trike          .tr9k -w
trim	.trIm -w
trip           .trIp -w
triple       .trIpL -w
tripled       .trIpLd -w
tripod	.tr9pad -w
tripped   .trIpt -w
tripping       .trIpIN -w
trombone	.trambon -w
troop	.trup -w
trouble        .trAbL -w
trough	.trOf -w
trousers	.trQsRz -w
trout	.trQt -w
truck          .trAk -w
truckie	.trAki -w
trucks         .trAks -w
true           .tru -w
truly	.truli -w
trunk          .trANk -w
trunks	.trANks -w
trust	.trAst -w
truth	.truT -w
truthfully     .truTf6li -w
try            .tr9 -w
trying         .tr9IN -w
trys	.tr9z -w
tub            .tAb -w
tubbie	.tAbi -w
tube            .tub -w
tubes           .tubz -w
tubing        .tubIN -w
tuck	.tAk -w
tucked	.tAkt -w
tucker	.tAkR -w
tuesday	.tuzde -w
tuffet	.tAf6t -w
tug            .tAg -w
tugged   .tAgd -w
tugging	.tAgIN -w
tulip          .tulIp -w
tulips         .tulIps -w
tumble         .tAmbL -w
tumbled        .tAmbLd -w
tumbles	.tAmbLz -w
tumbling	.tAmbLIN -w
tummies	.tAmiz -w
tummy          .tAmi -w
tumtum	.tAmtAm -w
tuna             .tun6 -w
tune            .tun -w
tunes          .tunz -w
tunnel	.tAnL -w
tupperware	.tApRw* -w
turkey            .t3ki -w
turkey's          .t3kiz -w
turkeys	.t3kiz -w
turkies           .t3kiz -w
turn           .t3n -w
turnaround	.t3n6rQnd -w
turned         .t3nd -w
turning       .t3nIN -w
turns          .t3nz -w
turtle         .t3tL -w
turtle's       .t3tLz -w
turtleneck	.t3tLnEk -w
turtles	.t3tLz -w
tush	.tUS -w
tutti	.tuti -w
tuttletuttle	.tAtL -w .tAtL -w
tutu	.tutu -w
tuv@k        .ti -w .yu -w .vi -w
tv             .tivi -w
tweaks	.twiks -w
tweedle	.twidL -w
tweedlebug	.twidLbAg -w
tweedledee	.twidLdi -w
tweedledum	.twidLdAm -w
tweet	.twit -w
tweetie	.twiti -w
tweetie's	.twitiz -w
tweety        .twiti -w
twelfth	.twElf -w
twelve        .twElv -w
twenty         .twEnti -w
twice          .tw9s -w
twiddle	.twIdL -w
twiddlebug	.twIdLbAg -w
twinkle	.twINkL -w
twirl	.tw3l -w
twirly	.tw3li -w
twist	.twIst -w
twister	.twIstR -w
twisting	.twIstIN -w
twisty	.twIsti -w
two            .tu -w
twos	.tuz -w
twy	.tw9 -w
twying	.tw9IN -w
ty	.t9 -w
tyco	.t9ko -w
tying	.t9IN -w
tylenol	.t9lEnal -w
type	.t9p -w
typing	.t9pIN -w
tyrese	.t9ris -w
u	.yu -w
u@l            .yu -w
ubb's	.Abz -w
ugh	.Ag -w
uglier       .AgliR -w
ugliest      .AgliEst -w
ugly          .Agli -w
uh             .A -w
uhhuh        .AhA -w
uhhum	.MhM -w
uhoh           .Ao -w
uhuh           .AA -w
ukelele        .yuk6leli -w
ulterior	.Alt(iR -w
um               .Am -w
umbrella       .AmbrEl6 -w
unbearable     .Anb*6bL -w
unbreakable    .Anbrek6bL -w
unbuckle	.AnbAkL -w
unbuckled	.AnbAkLd -w
unbutton       .AnbAt~ -w
uncheerful	.Anc(fL -w
uncle          .ANkL -w
uncles	.AnkLz -w
uncomfortable	.AnkAmftRbL -w
unconsciously  .AnkanS6sli -w
uncover	.AnkAvR -w
uncovering	.AnkAvRIN -w
uncurl	.Ank3l -w
under          .AndR -w
underarm	.AndR#m -w
underarms	.AndR#mz -w
underneath	.AndRniT -w
underpants     .AndRp&nts -w
undershirt   .AndRS3t -w
understand     .AndRst&nd -w
understandable	.AndRst&ndEbL -w
understanding  .AndRst&ndIN -w
understands    .AndRst&ndz -w
understood     .AndRstUd -w
underwear	.AndRw* -w
underwears	.AndRw*z -w
undies	.Andiz -w
undo           .Andu -w
undone         .AndAn -w
undress        .AndrEs -w
undressed	.AndrEst -w	
undressing     .AndrEsIN -w
unfair	.Anf* -w
unfold	.Anfold -w
unfortunate	.Anf%t6n6t -w
unfortunately	.Anf%t6n6tli -w	
unfree	.Anfri -w
unhappy	.Anh&pi -w
unhook	.AnhUk -w
unicorn        .yunIk%n -w
unicycle	.yunIc9kL -w
unidentifiable	.An9dEnt6f96bL -w
uniform         .yun6f%m -w
uniforms        .yun6f%mz -w
unique         .yunik -w
unit	.yunIt -w
universal        .yunIvRsL -w
universe	.yunIvRs -w
unless         .AnlEs -w
unlimited	.AnlImIt6d -w
unload         .Anlod -w
unlock         .Anlak -w
unlocked	.Anlakt -w
unorganized	.An%g6n9zd -w
unpacking	.Anp&kIN -w	
unpause	.AnpOz -w
unpleasant	.AnplEs~t -w
unplug       .AnplAg -w
unplugged    .AnplAgd -w
unplugging   .AnplAgIN -w
unplugs        .AnplAgz -w
unravels       .Anr&vLz -w
unruly          .Anruli -w
unscrew		.Anskru -w
unsnap         .Ansn&p -w
unsnapped     .Ansn&pt -w
unstrap         .Anstr&p -w
untape	.Antep -w
untie          .Ant9 -w
untied         .Ant9d -w
unties         .Ant9z -w
until          .AntIl -w
untying        .Ant9IN -w
unused        .Anyuzd -w
unusual 	.AnyuZuL -w
unzip          .AnzIp -w
unzipped       .AnzIpt -w
unzipperoni	.AnzIpRoni -w
unzipping      .AnzipIN -w
up             .Ap -w
uphill	.AphIl -w
upieday	.Apide -w
upon	.Ap~ -w
upper	.ApR -w
uppie	.Api -w
ups           .Aps -w
ups@c	.Aps -w
upsa	.Aps6 -w
upsadaisy	.Aps6dezi -w
upset	.ApsEt -w
upside         .Aps9d -w
upsidedown	.Aps9dQn -w
upsie	.Apsi -w
upstairs    .Apst*z -w
upstream	.Apstrim -w
uptown	.AptQn -w
urchins	.3cInz -w
urge           .3G -w
us             .As -w
use            .yuz -w
used           .yuzd -w
useful	.yusfL -w
useless	.yusl6s -w
uses           .yuzIz -w
using	.yuzIN -w	
usual	.yuZuL -w
usually        .yuZw6li -w
utensil	.yutEnsL -w
utensils       .yutEnsIlz -w
utmost	.Atmost -w
v               .vi -w
v's	.vIz -w
v@l            .vi -w
vacation       .vekeS~ -w
vacuum         .v&kyum -w
vacuumed	.v&kyumd -w
vacuums        .v&kyumz -w
valentine      .v&l~t9n -w
valentine's	.v&lEnt9nz -w
valentines	.v&lEnt9nz -w
vampire	.v&mp9R -w
van             .v&n -w
van's	.v&nz -w
vandross         .v&ndrOs -w
vane	.ven -w
vanilla        .v6nIl6 -w
vans              .v&nz -w
variable	.v*i6bL -w
variety	.v6r96ti -w
vas                 .vAz -w
vaseline          .v&s6lin -w
vasie            .vezi -w
vat	.v&t -w
vegetable    .vEGt6bL -w
vegetables    .vEGt6bLz -w
veggie	.vEGi -w
vehicle	.viIkL -w
veils	.velz -w
velcro	.vElkro -w
velcroed	.velkrod -w
velveteen	.velv6tin -w
vent	.vEnt -w
vera	.v*6 -w	
verbalize      .v3b6l9z -w
vern	.v3n -w
versatile	.v3s6t9l -w
verse	.v3s -w
version	.v3Z~ -w
versus	.v3s6s -w
very           .v*i -w
vests	.vEsts -w	
victoria	.vikt%i6 -w
video	.vIdio -w
videos	.vIdioz -w
view	.vyu -w
viewpoint      .vyup7nt -w
vigorously     .vIgR6s -w
vin	.vIn -w
vine           .v9n -w
vinegar       .vIn6gR -w
vines	.v9nz -w
vinnie         .vIni -w
vintage        .vIntIG -w
violence        .v96l~ts -w
violent	.v96l~t -w
violet	.v96l6t -w
violin         .v96lIn -w
viper	.v9pR -w
virginia       .vRGIny6 -w
virtually      .v3cu6li -w
visit            .vIzIt -w
visited         .vIzIt6d -w
visiting       .vIzItIN -w
visits          .vIzIts -w
visual           .vIzuL -w
vitamin	.v9t&mIn -w
vitamins	.v9t&mInz -w
vividly        .vIvIdli -w
vocal          .vokL -w
voice          .v7s -w
voices         .v7sIz -w
volcano	.valceno -w
vole	.vol -w
volleyball	.valibOl -w
volunteer      .val~t( -w
vroom	.vrum -w
w   .dAbLyu -w
w@l            .dAbLyu -w
wackwackwack@o	.w&k -w .w&k -w .w&k -w
wacky	.w&ki -w
wafer	.wefR -w
wafers	.wefRz -w
waffle	.wOfL -w
waffles	.wOflz -w
wag	.w&g -w
wagon          .weg~ -w
wahwahwah	.w& -w .w& -w .w& -w
wahwahwah@si	.w& -w .w& -w .w& -w
wait           .wet -w
waited	.wet6d -w
waiting	.wetIN -w
wake           .wek -w
wakes          .weks -w
waking         .wekIN -w
waldo	.waldo -w
walk           .wOk -w
walkandtalk	.wOk -w .&nd -w .tOk -w
walked         .wOkt -w
walker          .wOkR -w
walkie	.wOki -w
walkietalkie	.wOkitOki -w
walkietalkies	.wOkitOkiz -w
walking        .wOkIN -w
walks          .wOks -w
wall           .wOl -w
wallet	.wal6t -w
wallpaper	.wOlpepR -w
walls          .wOlz -w
walt           .wOlt -w
walters	.waltRz -w
walters's	.waltRz6z -w
wand	.wand -w
wandered   .wandRd -w
wandering	.wandRIN -w
wanna          .wan6 -w
want           .want -w
want's         .wants -w
wanted         .wantId -w
wanting	.wantIN -w
wants          .wants -w
war              .w% -w
warm           .w%m -w
warmed	.w%md -w
warmer	.w%mR -w
warming	.w%mIN -w
warn 	.w%n -w
warning	.w%nIN -w
warren	.w%~ -w
warrior	.w%iR -w	
was            .wAz -w
wash           .waS -w
washcloth      .waSklOT -w
washcloths	.waSklOTs -w
washed         .waSt -w
washer	.waSR -w
washes         .waSIz -w
washie	.waSi -w	
washing        .waSIN -w
washrag	.waSr&g -w
wasn't         .wAz~t -w
wasp           .wasp -w
wasps           .wasps -w
waste	.west -w
wasted   .west6d -w
wasting	.westIN -w
watch          .wac -w
watched        .wact -w
watches        .wacIz -w
watching       .wacIN -w
water          .wOtR -w
water's	.watRz -w
waterfall	.watRfal -w	
watering	.watRIN -w
waterloo	.watRlu -w
watermelon	.watRmEl~ -w
watermelons	.watRmEl~z -w
watery	.watRi -w
wave           .wev -w
waved	.wevd -w
waves          .wevz -w
waving         .wevIN -w
wawa	.wawa -w
wax	.w&ks -w
way            .we -w
way's	.wez -w
ways           .wez -w
we             .wi -w
we'd	.wid -w
we'll          .wil -w
we're          .w( -w
we've          .wiv -w
weak	.wik -w
wear           .w* -w
wearable	.w*6bL -w
wearing        .w*IN -w
wears          .w*z -w
weasel         .wizL -w
weasels        .wizLz -w
weather	.wEDR -w
weaving	.wivIN -w
web	.wEb -w
webs  .wEbz -w
wednesday	.wEnzde -w
wee            .wi -w
weebles	.wibLz -w
weed	.wid -w
weeds	.widz -w
week           .wik -w
weekend        .wikEnd -w
weeks          .wiks -w
weens	.winz -w
weensie	.winsi -w
weepee	.wipi -w
weepie	.wipi -w
weepy	.wipi -w
weeta	.wit6 -w
weewee	.wiwi -w
weewees	.wiwiz -w
weeweeweeweewee	.wi -w .wi -w .wi -w .wi -w
weigh	.we -w
weight	.wet -w
weird          .w(d -w
weirdest	.w3dEst -w
weirdo	.w3do -w
welcome        .wElkM -w
well           .wEl -w
went           .wEnt -w
were           .w3 -w
weren't       .w3nt -w
wet            .wEt -w
wetter	.wEtR -w
wh        .W -w
whack          .W&k -w
whaddya	.wAdy6 -w
whale          .Wel -w
whales	.wELz -w
wham	.w&m -w
what           .WAt -w
what'd        .WAt6d -w
what's         .WAts -w
whatcha       .WAtc6 -w
whatchamacallit	.wAtc6m6kOlIt -w
whatever       .WAtEvR -w
wheat          .Wit -w
wheaties	.witiz -w
whee	.wi -w
wheel	.wiL -w
wheelbarrow    .Wilb*o -w
wheeling	.wiLIN -w
wheels         .Wilz -w
when           .WEn -w
when's	.wEnz -w
whence         .WEns -w
whenever       .WEnEvR -w
where	.w* -w 
where          .W* -w
where'd        .W*d -w
where're   .W*R -w
where's        .W*z -w
whereas        .W*&z -w
whereupon      .W*6pan -w
wherever       .W*EvR -w
whether        .WEDR -w
whew	.Wu -w
whey	.we -w
which          .WIc -w
while          .W9l -w
whine         .W9n -w
whined      .W9nd -w
whines       .W9nz -w
whiney	.w9ni -w
whineyness	.w9ninEs -w
whining      .W9nIN -w
whip           .WIp -w
whipped     .WIpt -w
whipping      .WIpIN -w
whips           .WIps -w
whirled	.w3ld -w
whirlwind		.w3lwInd -w
whisker	.wIskR -w
whiskers       .WIskRz -w
whisper	.wIspR -w
whispered	.wIspRd -w
whispering	.wIspRIN -w
whistle	.wIsL -w
white          .W9t -w
whitney	.wItni -w
who            .hu -w
who's          .huz -w
whoa           .wo6 -w
whoever	.huEvR -w
whole          .hol -w
whom           .hum -w
whoop	.wup -w
whoopee	.wUpi -w
whoopie	.wUpi -w
whoops       .wUps -w
whoopsadaisy    .wUps6dezi -w
whoopsie	.wUpsi -w
whoopsiedoozies	.wUpsiduziz -w
whoopsiedoozy	.wUpsiduzi -w
whoosh	.wUS -w
whose          .huz -w
whoville	.huvIl -w
why            .W9 -w
why's	.w9z -w
whys	.w9z -w
wick	.wIk -w
wicked         .wIkId -w
wide           .w9d -w
wider	.w9dR -w
width	.wIdT -w
wife	.w9f -w
wig	.wIg -w
wiggins	.wIgInz -w
wiggle	.wIgL -w
wiggles   .wIgLz -w
wiggly	.wIgli -w
wild           .w9ld -w
wildly	.w9ldli -w
wiled	.wIld -w
will           .wIl -w
william   .wIlyAm -w
willie	.wIli -w
willing        .wIlIN -w
willow	.wIlo -w
willy	.wIli -w
wilted  .wIlt6d -w
wily	.w9li -w
win	.wIn -w
wind             .wInd -w
wind's	.wIndz -w
windbreaker	.wIndbrekR -w
winder	.wIndR -w
window         .wIndo -w
window's 	.wIndoz -w
windows        .wIndoz -w
windowsill		.wIndosil -w
winds	.wIndz -w
windshield       .wInSild -w
windshield's     .wInSildz -w
windshields      .wInSildz -w
windy	.wIndi -w
wing	.wIN -w
wings	.wINz -w
wink	.wINk -w
winkie	.wINki -w
winkle         .wINkL -w
winky	.wINki -w
winnie         .wIni -w
winter         .wIntR -w
wipe           .w9p -w
wiped	.w9pt -w
wipeout	.w9pQt -w
wiper           .w9pR -w
wipers          .w9pRz -w
wipes          .w9ps -w
wipie	.w9pi -w
wipies	.w9piz -w
wiping	.w9pIN -w
wire            .w9r -w
wires            .w9rz -w
wish           .wIS -w
wishbone	.wISbon -w
wished	.wISt -w
wishes	.wIS6z -w
witch	.WIc -w
with           .wIT -w
within	.wITIn -w
without        .wITQt -w
wittle           .wItL -w
wittles         .wItLz -w
wobbly	.wabli -w
wocket@n	.wak6t -w
woe  .wo -w
woke	.wok -w
wolf	.wUlf -w
wolfie	.wUlfi -w
woman          .wUm~ -w
womb	.wum -w
women	.wIm6n -w
won	.wAn -w
won't          .wont -w
wonder         .wAndR -w
wondered       .wAndRd -w
wonderful      .wAndRfL -w
wonderfully	.wAndRfli -w
wondering      .wAndRIN -w
wonders   .wAndRz -w
woo	.wu -w
wood           .wUd -w
wooden         .wUd~ -w
woods	.wUdz -w
woody	.wUdi -w
woof	.wUd -w
woofwoof	.wUfwUf -w
wool	.wUl -w
woolly	.wUli -w
wooly	.wUli -w	
woowoo         .wuwu -w
word           .w3d -w
words          .w3dz -w
wore	.w% -w
work           .w3k -w
worked         .w3kt -w
workie	.w3ki -w
working        .w3kIN -w
workout	.w3kQt -w
workplace     .w3kples -w
workroom	.w3krum -w
works          .w3ks -w
world           .w3ld -w 
world's	.w3ldz -w
worm           .w3m -w
worms         .w3mz -w
worn           .w%n -w
worried	.w3id -w
worries   .w3iz -w
worry          .w3i -w
worse	.w3s -w
worship	.w3SIp -w
worst	.w3st -w
worth	.w3T -w
wosuits	.wosut -w
would          .wUd -w
would've	.wUd6v -w
wouldn't       .wUd~t -w
wound   .wund -w
wow             .wQ -w
wrap           .r&p -w
wrapped        .r&pt -w
wrapper	.r&pR -w
wrapping	.r&pIN -w
wrappings      .r&pINz -w
wreath	.rIT -w
wreck	.rEk -w
wrecker	.rEkR -w
wrecking	.rEkIN -w
wrestle             .rEsL -w
wrestled           .rEsLd -w
wrestles             .rEsLz -w
wrestling           .rEsLIN -w
wriggly	.rIgLi -w
wrinkled	.rINkLd -w
wrinkles	.rINkLz -w
wrinkly	.rINkli -w
wrist          .rIst -w
